회사명,안전마진율
피에스케이,2190.805675105485
한신공영,1107.9443014882381
엠케이전자,1091.7426371061842
아이디스홀딩스,673.9500646551724
경동인베스트,660.4242998897464
S&T홀딩스,611.7322133199799
무림페이퍼,605.8318071374334
계룡건설산업,584.8453346855986
케이씨,576.0279588688946
신한,549.8797694524495
KISCO홀딩스,544.9126985381272
아세아,540.1324036191975
한양이엔지,527.5071058410189
예림당,498.4992663755458
에스케이하이닉스,486.58979376930677
GS,460.40165176359045
두산인프라코어,459.5374456762749
한화,429.69750814416466
신원종합개발,422.76714285714286
원익홀딩스,418.6245374912404
서희건설,412.0230974695408
영원무역홀딩스,410.4065544437905
네오위즈홀딩스,410.1253866432337
아이에스동서,404.18564739884397
매일홀딩스,402.37048231511255
대한유화,400.7884626532888
태영건설,391.78370734789667
세아제강지주,391.110083260298
인지디스플레이,384.56255287009066
동아엘텍,370.87303571428566
대양제지공업,362.23086994727583
서플러스글로벌,359.8301806588736
CS홀딩스,358.6755724137932
디와이,358.5379036635007
신대양제지,357.7814174937965
제우스,351.70099378881986
LS,349.7328293551365
제이엠티,343.66047085201797
리드코프,343.03174299384824
세보엠이씨,338.6876
KG케미칼,326.60421976592977
현대비앤지스틸,322.1627861445783
대상홀딩스,320.563942898446
성도이엔지,319.47613095238097
티웨이홀딩스,317.0411501597444
두올,316.88577401129953
대원산업,315.3508800623053
케이씨씨건설,313.4542025148908
우진아이엔에스,305.03741293532335
AK홀딩스,299.8855035095258
이엘피,299.0001762820513
비아트론,297.3257073170731
현대건설기계,294.9741661438073
메카로,293.63080434782614
토비스,284.88474545454545
휴스틸,282.3512770809578
유니테스트,281.75966728280963
삼보판지,279.78746849942723
대우조선해양,279.5282545034197
GS건설,278.95609202168856
삼호개발,277.08849957374247
대창단조,276.4339948453608
이라이콤,275.8409118541033
TCC동양,275.428062283737
한국수출포장공업,273.6022090261282
현대통신,273.58928235294115
태광산업,272.25889482737443
아이씨디,271.62503583061886
아세아제지,270.7041522186306
포스코,270.18167182677684
한국타이어월드와이드,267.0082207379135
국도화학,266.8334867190423
금화피에스시,260.7063348647269
하나마이크론,260.2722233201581
코메론,259.5025820256776
원일특강,252.7146766169154
아바코,252.180126953125
KPX홀딩스,249.84836004932183
화천기공,249.51490445859875
디티알오토모티브,240.06611043319094
삼성전자,239.3066351408701
동부건설,238.8653947368421
삼양통상,237.58042194092832
세방전지,237.25899091659787
에스케이디스커버리,234.18875281589183
풍산홀딩스,230.03642112344437
에스제이엠홀딩스,228.76353783231082
동일산업,228.47981195433175
에스에이엠티,228.47833333333332
디와이파워,227.29105614973264
무림피앤피,225.24201823326
롯데케미칼,224.44657303434315
LF,221.2309962523423
LG,219.25106279999355
애경유화,217.3917885867484
넥센,215.90486660533574
농심홀딩스,214.72839111592637
누리텔레콤,213.13342579750343
세아홀딩스,212.48440021810248
황금에스티,211.29639314697928
